,log_gross,votecount_clean
1015,18.593852535688157,79710.0
1017,18.591221073825395,114327.0
1018,18.579645747730734,43533.0
1019,18.576835363122708,553863.0
1020,18.57547314354773,51445.0
1021,18.54733476910664,84718.0
1023,18.520664648506393,271820.0
1024,18.513379626376345,54547.0
1025,18.509663767635264,40544.0
1028,18.484725946553354,41955.0
1030,18.480162133704454,256126.0
1031,18.477187468266592,130295.0
1032,18.474119164410947,28188.0
1033,18.46017840913551,68561.0
1034,18.45423889734027,104238.0
1037,18.44051296884975,69515.0
1038,18.43498537315318,137601.0
1039,18.432609749600154,166721.0
1040,18.431338764927855,236788.0
1041,18.42684514493137,188600.0
1042,18.42561529898502,12162.0
1043,18.376453029462702,46827.0
1045,18.356380861005103,234482.0
1047,18.347262412403424,30243.0
1048,18.33760221951335,89940.0
1049,18.326996307910207,43581.0
1050,18.319807921297922,90259.0
1051,18.30094170657126,52232.0
1053,18.27053268460806,204051.0
1054,18.263067268897426,49357.0
1055,18.255250604521528,71814.0
1058,18.238578207171777,72943.0
1060,18.230376203767513,53485.0
1061,18.225645659671283,132396.0
1062,18.22537675083596,55896.0
1063,18.217833301093652,12781.0
1064,18.213635233576916,122373.0
1065,18.21317893279011,182288.0
1066,18.210232527271266,31437.0
1067,18.209172143326146,21195.0
1068,18.207722322656515,26133.0
1069,18.200154913415524,172108.0
1070,18.200009047585958,59963.0
1071,18.19842100196361,191425.0
1072,18.198142421949942,254853.0
1073,18.197979619752843,43855.0
1074,18.195258811598137,35225.0
1075,18.183856068898844,82898.0
1076,18.183292567989714,46960.0
1077,18.18186727068915,99263.0
1078,18.17379145599423,89747.0
